source,line_no,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer_old,correct_index,correct_option_text,explanation,options_parse_error
questions_seed_300.sql,269,professor,An oxymoron pairs ___.,A. synonyms,B. contradictory terms,C. foreign words,D. rhyming words,B,1,B. contradictory terms,矛盾修辭並置相反概念。,
questions_seed_300.sql,270,professor,Epistemic modality expresses ___.,A. obligation about the past,B. speaker's degree of commitment to truth,C. physical ability only,D. future tense only,B,1,B. speaker's degree of commitment to truth,認識情態表說話者對命題真假的確信度。,
questions_seed_300.sql,271,professor,Deictic expressions depend on ___.,A. Latin roots,B. utterance context,C. metrical stress,D. silent letters,B,1,B. utterance context,指示詞依賴語境座標。,
questions_seed_300.sql,272,professor,A minimal pair in phonology demonstrates ___.,A. free variation,B. phonemic contrast,C. allophony only,D. tone sandhi,B,1,B. phonemic contrast,最小對立組顯示音位對立。,
questions_seed_300.sql,273,professor,Complementary distribution typically indicates ___.,A. phonemes,B. allophones of one phoneme,C. minimal pairs,D. word stress,B,1,B. allophones of one phoneme,互補分布多為同一音位之變體。,
questions_seed_300.sql,274,professor,The passive voice is sometimes preferred in scientific writing to ___.,A. increase wordiness,B. foreground the process or result,C. avoid verbs,D. hide subject always,B,1,B. foreground the process or result,被動可突出過程或結果。,
questions_seed_300.sql,275,professor,The rhetorical question primarily functions to ___.,A. request information only,B. prompt reflection rather than an answer,C. change tense,D. translate literally,B,1,B. prompt reflection rather than an answer,反問用於引發思考而非真問。,
questions_seed_300.sql,276,professor,Pathos appeals to ___.,A. logic,B. credibility,C. emotion,D. grammar,C,2,C. emotion,悲情訴諸情感 pathos。,
questions_seed_300.sql,277,professor,Logos appeals to ___.,A. emotion,B. character,C. reasoning and evidence,D. rhythm,C,2,C. reasoning and evidence,理性訴諸論證 logos。,
questions_seed_300.sql,278,professor,Ethos appeals to ___.,A. statistics only,B. speaker credibility,C. musicality,D. imagery only,B,1,B. speaker credibility,人格訴諸可信度 ethos。,
questions_seed_300.sql,279,professor,Ambiguity of scope may confuse whether ___.,A. a verb is transitive,B. negation applies to one clause or another,C. nouns are plural,D. letters are silent,B,1,B. negation applies to one clause or another,範域歧義影響否定範圍。,
questions_seed_300.sql,280,professor,Vagueness differs from ambiguity because vagueness ___.,A. has two precise senses,B. involves borderline cases,C. is always grammatical,D. requires synonyms,B,1,B. involves borderline cases,模糊涉及界線案例而非雙義。,
questions_seed_300.sql,281,professor,Performative utterances ___.,A. cannot be spoken,B. do something by being said,C. only describe weather,D. lack verbs,B,1,B. do something by being said,施為句以說出即完成行為。,
questions_seed_300.sql,282,professor,Implicature (Gricean) relies on ___.,A. literal grammar only,B. conversational cooperation and context,C. spelling rules,D. IPA charts,B,1,B. conversational cooperation and context,含意依合作原則與語境推導。,
questions_seed_300.sql,283,professor,A malapropism is ___.,A. a deliberate pun,B. an amusing word substitution error,C. a silent letter,D. a dialect map,B,1,B. an amusing word substitution error,誤用近似音詞造成滑稽效果。,
questions_seed_300.sql,284,professor,Proprioceptive imagery appeals to ___.,A. sight,B. internal bodily sensation,C. hearing,D. taste only,B,1,B. internal bodily sensation,本體感覺意象描寫身體內部感覺。,
questions_seed_300.sql,285,professor,Synesthesia in literature ___.,A. avoids metaphor,B. crosses sensory domains,C. uses only facts,D. removes adjectives,B,1,B. crosses sensory domains,通感跨感官域。,
questions_seed_300.sql,286,professor,"The hedging phrase 'I might be wrong, but...' serves to ___.",A. assert certainty,B. soften the claim,C. change topic,D. quote sources,B,1,B. soften the claim,模糊限制語弱化斷言。,
questions_seed_300.sql,287,professor,Parallelism in prose primarily enhances ___.,A. confusion,B. rhythm and clarity,C. spelling,D. font choice,B,1,B. rhythm and clarity,排比增節奏與清晰度。,
questions_seed_300.sql,288,professor,Antimetabole repeats words in ___.,A. random order,B. reverse order,C. alphabetical order,D. silent letters,B,1,B. reverse order,逆序重複為 antimetabole。,
questions_seed_300.sql,289,professor,The pathetic fallacy attributes human emotion to ___.,A. numbers,B. nature or objects,C. verbs only,D. footnotes,B,1,B. nature or objects,感情誤置賦予自然或物情感。,
questions_seed_300.sql,290,professor,An enthymeme in rhetoric is ___.,A. a long poem,B. a syllogism with an unstated premise,C. a type of irony,D. a grammar rule,B,1,B. a syllogism with an unstated premise,省略三段論省略前提。,
questions_seed_300.sql,291,professor,The distinction between 'fewer' and 'less' is prescriptively about ___.,A. formality,B. count vs mass nouns,C. British vs American,D. past vs present,B,1,B. count vs mass nouns,規範上 fewer 配可數、less 配不可數。,
questions_seed_300.sql,292,professor,"In philosophy of language, 'extension' of a term is ___.",A. its intension,B. the set of things it denotes,C. its etymology,D. its pronunciation,B,1,B. the set of things it denotes,外延為詞所指對象集合。,
questions_seed_300.sql,293,professor,The intension of a word includes ___.,A. only pronunciation,B. associative or definitional properties,C. only spelling,D. rhyme scheme,B,1,B. associative or definitional properties,內涵為定義性質與屬性。,
questions_seed_300.sql,294,professor,"If P implies Q, then 'not Q' implies ___.",A. P,B. not P,C. Q,D. P and Q,B,1,B. not P,拒取式：非 Q 則非 P（假設原為 P→Q）。,
questions_seed_300.sql,295,professor,A contingent truth is one that ___.,A. must be true in all worlds,B. could have been otherwise,C. is self-contradictory,D. only concerns math,B,1,B. could have been otherwise,偶然真理可以不是如此。,
questions_seed_300.sql,296,professor,Analytic statements are often characterized as ___.,A. empirical,B. true by virtue of meaning,C. always false,D. poetic,B,1,B. true by virtue of meaning,分析句依意義為真。,
questions_seed_300.sql,297,professor,Synthetic statements ___.,A. are true by definition only,B. combine concepts not contained in the subject,C. cannot be false,D. lack predicates,B,1,B. combine concepts not contained in the subject,綜合句把主詞所無之概念連結起來。,
questions_seed_300.sql,298,professor,The fallacy of composition assumes ___.,A. parts equal whole properties,B. what is true of parts is true of the whole,C. correlation implies causation,D. experts are wrong,B,1,B. what is true of parts is true of the whole,合成謬誤以部分性質推整體。,
questions_seed_300.sql,299,professor,The fallacy of division assumes ___.,A. the whole's property belongs to every part,B. correlation is causation,C. samples are random,D. definitions shift,A,0,A. the whole's property belongs to every part,分割謬誤以整體屬性推每一部分。,
questions_seed_300.sql,300,professor,A virtue of a clear operational definition is that it ___.,A. avoids all measurement,B. makes variables observable and testable,C. removes ethics,D. eliminates theory,B,1,B. makes variables observable and testable,操作型定義使變項可觀測檢驗。,
questions_seed_300.sql,301,professor,"In academic hedging, the verb suggests is weaker than ___.",A. might,B. proves,C. could,D. may,B,1,B. proves,suggests 比 proves 語氣弱。,
questions_seed_300_batch2.sql,2,elementary,My parents ___ teachers.,A. am,B. is,C. are,D. be,C,2,C. are,複數主詞 parents 用 are。,
questions_seed_300_batch2.sql,3,elementary,Grandpa ___ reading every morning.,A. am,B. is,C. are,D. be,B,1,B. is,第三人稱單數用 is。,
questions_seed_300_batch2.sql,4,elementary,___ there any milk left?,A. Is,B. Are,C. Am,D. Do,A,0,A. Is,不可數 milk 與 there be 搭配用 Is there。,
questions_seed_300_batch2.sql,5,elementary,___ those your stickers?,A. Is,B. Are,C. Am,D. Was,B,1,B. Are,those 複數用 Are。,
questions_seed_300_batch2.sql,6,elementary,I ___ not hungry.,A. am,B. is,C. are,D. be,A,0,A. am,I 配 am。,
questions_seed_300_batch2.sql,7,elementary,We ___ from Canada.,A. am,B. is,C. are,D. be,C,2,C. are,We 複數用 are。,
questions_seed_300_batch2.sql,8,elementary,___ does the shop open?,A. When,B. Who,C. Whose,D. Which,A,0,A. When,問時間用 When。,
questions_seed_300_batch2.sql,9,elementary,___ bag are you carrying?,A. Who,B. Which,C. Whose,D. Where,B,1,B. Which,問哪一個／款式用 Which。,
questions_seed_300_batch2.sql,10,elementary,Every weekend she ___ her grandma.,A. visit,B. visits,C. visiting,D. visited,B,1,B. visits,習慣動作 she + visit + s。,
questions_seed_300_batch2.sql,11,elementary,They ___ football now.,A. play,B. plays,C. are playing,D. played,C,2,C. are playing,now 表現在進行。,
questions_seed_300_batch2.sql,12,elementary,Look! It ___ .,A. rain,B. rains,C. is raining,D. rained,C,2,C. is raining,Look 提示正在發生。,
questions_seed_300_batch2.sql,13,elementary,I ___ never ___ sushi.,A. have / eat,B. have / eaten,C. has / eaten,D. had / eat,B,1,B. have / eaten,現在完成式 have eaten。,
questions_seed_300_batch2.sql,14,elementary,She ___ to Tokyo twice.,A. go,B. goes,C. has gone,D. went,C,2,C. has gone,經驗次數用現在完成式。,
questions_seed_300_batch2.sql,15,elementary,Before bed I always ___ my teeth.,A. brush,B. brushes,C. brushing,D. brushed,A,0,A. brush,I + always + 現在式 brush。,
questions_seed_300_batch2.sql,16,elementary,Can we ___ outside?,A. plays,B. play,C. playing,D. played,B,1,B. play,can 後接原形。,
questions_seed_300_batch2.sql,17,elementary,She ___ play the piano when she was six.,A. can,B. could,C. may,D. must,B,1,B. could,過去能力用 could。,
questions_seed_300_batch2.sql,18,elementary,You ___ wear a helmet on this ride.,A. should,B. shouldn't,C. might,D. could,A,0,A. should,安全規定建議 should。,
questions_seed_300_batch2.sql,19,elementary,It's dark. You ___ leave alone.,A. should,B. shouldn't,C. must,D. might,B,1,B. shouldn't,危險情境建議不要.shouldn't。,
questions_seed_300_batch2.sql,20,elementary,There ___ many kinds of juice in the jug.,A. is,B. are,C. be,D. am,B,1,B. are,kinds 為可數複數，用 there are。,
questions_seed_300_batch2.sql,21,elementary,How ___ students are in the club?,A. much,B. many,C. long,D. often,B,1,B. many,可數名詞數量用 How many。,
questions_seed_300_batch2.sql,22,elementary,How ___ does the ticket cost?,A. many,B. much,C. often,D. far,B,1,B. much,價錢用 How much。,
questions_seed_300_batch2.sql,23,elementary,"I'd like ___ water, please.",A. any,B. some,C. many,D. few,B,1,B. some,肯定請求液體用 some。,
questions_seed_300_batch2.sql,24,elementary,We don't have ___ eggs.,A. some,B. any,C. much,D. many,B,1,B. any,否定句「任何」用 any。,
questions_seed_300_batch2.sql,25,elementary,That is ___ elephant.,A. a,B. an,C. the,D. no article,B,1,B. an,elephant 母音開頭用 an。,
questions_seed_300_batch2.sql,26,elementary,Pass me ___ salt.,A. a,B. an,C. the,D. no article,C,2,C. the,特指桌上的鹽用 the。,
questions_seed_300_batch2.sql,27,elementary,___ Earth goes around the Sun.,A. A,B. An,C. The,D. no article,C,2,C. The,獨一無二事物用 the。,
questions_seed_300_batch2.sql,28,elementary,I've lost ___ pen you lent me.,A. a,B. an,C. the,D. no article,C,2,C. the,特定那支筆用 the。,
questions_seed_300_batch2.sql,29,elementary,She runs ___ than her brother.,A. fast,B. faster,C. fastest,D. more fast,B,1,B. faster,兩者比較用比較級 faster。,
questions_seed_300_batch2.sql,30,elementary,This is the ___ pizza I've ever had.,A. good,B. better,C. best,D. more good,C,2,C. best,ever 搭配最高級 best。,
questions_seed_300_batch2.sql,31,elementary,My room is ___ than yours.,A. big,B. bigger,C. biggest,D. more big,B,1,B. bigger,than 用比較級 bigger。,
questions_seed_300_batch2.sql,32,elementary,She speaks English ___ .,A. good,B. well,C. better,D. best,B,1,B. well,修飾動詞 speak 用副詞 well。,
questions_seed_300_batch2.sql,33,elementary,"___ carefully, please!",A. Listen,B. Listen to,C. Hear,D. Sound,A,0,A. Listen,祈使「聽」用 Listen（不及物）。,
questions_seed_300_batch2.sql,34,elementary,___ you help me carry this?,A. Can,B. Should,C. Must,D. May,A,0,A. Can,請求協助常用 Can。,
questions_seed_300_batch2.sql,35,elementary,I'm interested ___ science fiction.,A. on,B. in,C. at,D. for,B,1,B. in,be interested in。,
questions_seed_300_batch2.sql,36,elementary,Good ___! You'll do better next time.,A. luck,B. luckily,C. lucky,D. unlucky,A,0,A. luck,安慰常用 Good luck 或加油語境。,
questions_seed_300_batch2.sql,37,elementary,See you ___ weekend!,A. this,B. at this,C. on this,D. the,A,0,A. this,this weekend 固定說法。,
questions_seed_300_batch2.sql,38,elementary,___ happy birthday!,A. Say,B. Wish,C. Tell,D. Speak,B,1,B. Wish,祝賀生日常用 Wish。,
questions_seed_300_batch2.sql,39,elementary,Turn ___ the TV; it's too loud.,A. on,B. off,C. up,D. in,B,1,B. off,太吵要關掉用 turn off。,
questions_seed_300_batch2.sql,40,elementary,___ up early makes me tired.,A. Wake,B. Waking,C. Woke,D. Wakes,B,1,B. Waking,主詞用動名詞 Waking。,
questions_seed_300_batch2.sql,41,elementary,I'd like ___ pizza slice.,A. other,B. another,C. others,D. the other,B,1,B. another,再一片（不定數中再一個）用 another。,
questions_seed_300_batch2.sql,42,elementary,Both answers ___ wrong.,A. is,B. are,C. am,D. was,B,1,B. are,Both + 複數名詞用 are。,
questions_seed_300_batch2.sql,43,elementary,Neither answer ___ correct.,A. are,B. is,C. were,D. be,B,1,B. is,Neither + 單數名詞視為單數 is。,
questions_seed_300_batch2.sql,44,elementary,Put your toys ___ the box.,A. at,B. on,C. in,D. to,C,2,C. in,放入盒子內部用 in。,
questions_seed_300_batch2.sql,45,elementary,The poster is ___ the wall.,A. in,B. on,C. at,D. over,B,1,B. on,貼在牆面上用 on。,
questions_seed_300_batch2.sql,46,elementary,We'll meet ___ noon.,A. on,B. in,C. at,D. by,C,2,C. at,時刻 at noon。,
questions_seed_300_batch2.sql,47,elementary,"___ spring, flowers bloom.",A. On,B. At,C. In,D. By,C,2,C. In,季節用 in。,
questions_seed_300_batch2.sql,48,elementary,We're traveling ___ plane.,A. by,B. on,C. with,D. in,A,0,A. by,交通工具 by plane。,
questions_seed_300_batch2.sql,49,elementary,I'm afraid ___ spiders.,A. for,B. of,C. about,D. with,B,1,B. of,be afraid of。,
questions_seed_300_batch2.sql,50,elementary,Could you speak ___ slowly?,A. more,B. many,C. much,D. most,A,0,A. more,請對方「再慢一點」用 more slowly。,
questions_seed_300_batch2.sql,51,elementary,This puzzle is easy ___ me.,A. for,B. to,C. with,D. of,A,0,A. for,對某人而言簡單用 for。,
questions_seed_300_batch2.sql,52,elementary,What's the opposite of 'cheap'?,A. small,B. expensive,C. short,D. cold,B,1,B. expensive,cheap 的反義常用 expensive。,
questions_seed_300_batch2.sql,53,elementary,Which month comes ___ October?,A. before,B. after,C. between,D. during,B,1,B. after,十一月接在十月之後。,
questions_seed_300_batch2.sql,54,elementary,A rectangle has ___ sides.,A. three,B. four,C. five,D. six,B,1,B. four,長方形四邊。,
questions_seed_300_batch2.sql,55,elementary,Water freezes at ___ Celsius.,A. 0,B. 32,C. 100,D. 50,A,0,A. 0,水的冰點攝氏 0 度。,
questions_seed_300_batch2.sql,56,elementary,Which animal lives in water and jumps?,A. lion,B. frog,C. cow,D. eagle,B,1,B. frog,青蛙典型在水邊／水中活動並跳躍。,
questions_seed_300_batch2.sql,57,elementary,You cut vegetables with a ___.,A. ball,B. knife,C. hat,D. pillow,B,1,B. knife,用刀切菜。,
questions_seed_300_batch2.sql,58,elementary,We listen to music with our ___.,A. eyes,B. ears,C. nose,D. hands,B,1,B. ears,耳朵聽音樂。,
questions_seed_300_batch2.sql,59,elementary,What do you use to tell time?,A. a map,B. a clock,C. a spoon,D. a pillow,B,1,B. a clock,時鐘看時間。,
questions_seed_300_batch2.sql,60,elementary,"If you are hungry, you want ___.",A. sleep,B. food,C. ice,D. darkness,B,1,B. food,餓了想吃東西。,
questions_seed_300_batch2.sql,61,elementary,This juice tastes ___.,A. sweetly,B. sweet,C. sweetness,D. sweeter,B,1,B. sweet,感官動詞 taste 後接形容詞 sweet。,
questions_seed_300_batch2.sql,62,elementary,The baby seems ___.,A. happily,B. happy,C. happiness,D. more happy,B,1,B. happy,seem + 形容詞。,
questions_seed_300_batch2.sql,63,elementary,___ one is yours — the red or the blue?,A. When,B. Which,C. What,D. Who,B,1,B. Which,在有限選擇中問哪一個用 Which。,
questions_seed_300_batch2.sql,64,elementary,___ father is a pilot?,A. Who,B. Whose,C. Which,D. What,B,1,B. Whose,問「誰的父親」用 Whose。,
questions_seed_300_batch2.sql,65,elementary,Please ___ quiet in the hospital.,A. are,B. be,C. is,D. being,B,1,B. be,祈使句用 Be quiet。,
questions_seed_300_batch2.sql,66,elementary,Let's ___ the homework together.,A. do,B. does,C. doing,D. did,A,0,A. do,Let's + 原形。,
questions_seed_300_batch2.sql,67,elementary,Don't ___ your phone in class.,A. uses,B. use,C. using,D. used,B,1,B. use,Don't + 原形。,
questions_seed_300_batch2.sql,68,elementary,She forgot ___ her umbrella.,A. bring,B. to bring,C. bringing,D. brought,B,1,B. to bring,forget to + 原形表忘了去做。,
questions_seed_300_batch2.sql,69,elementary,Remember ___ the door.,A. lock,B. to lock,C. locking,D. locked,B,1,B. to lock,remember to lock 記得要鎖。,
questions_seed_300_batch2.sql,70,elementary,He wants ___ a pilot.,A. be,B. to be,C. being,D. been,B,1,B. to be,want to be。,
questions_seed_300_batch2.sql,71,elementary,I'm learning ___ swim.,A. for,B. to,C. how to,D. how,C,2,C. how to,學習如何游泳用 how to swim。,
questions_seed_300_batch2.sql,72,elementary,It's important ___ sleep enough.,A. for,B. to,C. that,D. of,B,1,B. to,It's important to + 原形。,
questions_seed_300_batch2.sql,73,elementary,Could you tell me the ___ ?,A. true,B. truth,C. truly,D. truths,B,1,B. truth,tell the truth 說實話。,
questions_seed_300_batch2.sql,74,elementary,There were ___ people at the park.,A. much,B. many,C. a little,D. little,B,1,B. many,可數 people 用 many。,
questions_seed_300_batch2.sql,75,elementary,How ___ homework do you have?,A. many,B. much,C. often,D. long,B,1,B. much,不可數 homework 用 How much。,
questions_seed_300_batch2.sql,76,elementary,Pick ___ apple from the basket.,A. a,B. an,C. the,D. no article,B,1,B. an,apple 母音開頭用 an。,
questions_seed_300_batch2.sql,77,junior,"If it ___ tomorrow, we will cancel the trip.",A. will rain,B. rains,C. rained,D. rain,B,1,B. rains,第一條件句 if + 現在，主句未來。,
questions_seed_300_batch2.sql,78,junior,"Unless you hurry, you ___ the train.",A. catch,B. will catch,C. won't catch,D. caught,C,2,C. won't catch,Unless = if not，錯過車用未來否定。,
questions_seed_300_batch2.sql,79,junior,"By 2030, scientists believe many cars ___ electric.",A. are,B. were,C. will be,D. have been,C,2,C. will be,未來時間用 will be。,
questions_seed_300_batch2.sql,80,junior,She ___ since Monday.,A. is sick,B. has been sick,C. was sick,D. sicks,B,1,B. has been sick,since + 時間點用現在完成或完成進行；此處 has been sick。,
questions_seed_300_batch2.sql,81,junior,I ___ my keys. Have you seen them?,A. lost,B. have lost,C. had lost,D. lose,B,1,B. have lost,剛剛丟了影響現在，現在完成。,
questions_seed_300_batch2.sql,82,junior,This time yesterday I ___ on a bus.,A. sit,B. was sitting,C. sat,D. have sat,B,1,B. was sitting,特定過去時刻進行用過去進行。,
questions_seed_300_batch2.sql,83,junior,He suggested that she ___ early.,A. leave,B. leaves,C. left,D. leaving,A,0,A. leave,suggest that + 原形（英式）。,
questions_seed_300_batch2.sql,84,junior,It's vital that everyone ___ quiet.,A. remain,B. remains,C. remained,D. remaining,A,0,A. remain,vital that + (should) + 原形。,
questions_seed_300_batch2.sql,85,junior,The roof ___ in last night's storm.,A. damages,B. was damaged,C. damaged,D. has damaged,B,1,B. was damaged,屋頂被損壞，過去被動。,
questions_seed_300_batch2.sql,86,junior,The cake ___ by my sister.,A. made,B. was made,C. makes,D. making,B,1,B. was made,蛋糕被製作，被動。,
questions_seed_300_batch2.sql,87,junior,She admitted ___ the window.,A. break,B. breaking,C. to break,D. broke,B,1,B. breaking,admit + 動名詞。,
questions_seed_300_batch2.sql,88,junior,He avoided ___ her at the party.,A. see,B. seeing,C. to see,D. saw,B,1,B. seeing,avoid + 動名詞。,
questions_seed_300_batch2.sql,89,junior,I'm planning ___ abroad next year.,A. study,B. to study,C. studying,D. studied,B,1,B. to study,plan to + 原形。,
questions_seed_300_batch2.sql,90,junior,She's keen ___ learning Japanese.,A. for,B. on,C. in,D. at,B,1,B. on,be keen on + 動名詞。,
questions_seed_300_batch2.sql,91,junior,The movie was ___ boring that we left early.,A. so,B. such,C. very,D. too,A,0,A. so,so...that 如此…以致。,
questions_seed_300_batch2.sql,92,junior,It was ___ a boring movie that we left early.,A. so,B. such,C. very,D. much,B,1,B. such,such + a + 形 + 名。,
questions_seed_300_batch2.sql,93,junior,No sooner had we arrived ___ it started snowing.,A. when,B. than,C. before,D. until,B,1,B. than,No sooner...than 固定。,
questions_seed_300_batch2.sql,94,junior,Hardly had he spoken ___ someone interrupted.,A. than,B. when,C. before,D. after,B,1,B. when,Hardly...when。,
questions_seed_300_batch2.sql,95,junior,"Were I you, I ___ accept the offer.",A. will,B. would,C. can,D. shall,B,1,B. would,虛擬與現在相反用 would。,
questions_seed_300_batch2.sql,96,junior,I wish I ___ how to fix this.,A. know,B. knew,C. have known,D. knowing,B,1,B. knew,wish + 過去式表與現在願望相反。,
questions_seed_300_batch2.sql,97,junior,I'd rather you ___ here tonight.,A. stay,B. stayed,C. staying,D. to stay,B,1,B. stayed,would rather + 子句常用過去式表對他人期望。,
questions_seed_300_batch2.sql,98,junior,The boy ___ wallet was lost cried.,A. who,B. whom,C. whose,D. which,C,2,C. whose,所有格 whose wallet。,
questions_seed_300_batch2.sql,99,junior,This is the factory ___ my uncle works.,A. which,B. where,C. that,D. what,B,1,B. where,地點先行詞 where。,
questions_seed_300_batch2.sql,100,junior,She didn't tell me ___ she was leaving.,A. that,B. if,C. what,D. which,B,1,B. if,是否離開用 if/whether。,
questions_seed_300_batch2.sql,101,junior,___ breaks the law must face consequences.,A. Whoever,B. Who,C. Whomever,D. Whatever,A,0,A. Whoever,無論誰 whoever。,
questions_seed_300_batch2.sql,102,junior,"However hard he tried, he ___ pass.",A. can't,B. couldn't,C. doesn't,D. won't,B,1,B. couldn't,However hard，過去嘗試用 couldn't。,
questions_seed_300_batch2.sql,103,junior,The news ___ quite shocking.,A. are,B. were,C. was,D. be,C,2,C. was,news 不可數單數。,
questions_seed_300_batch2.sql,104,junior,Physics ___ my weakest subject.,A. are,B. were,C. is,D. be,C,2,C. is,學科 physics 單數。,
questions_seed_300_batch2.sql,105,junior,Either Tom or his cousins ___ coming.,A. is,B. are,C. was,D. be,B,1,B. are,either or 動詞與較近主詞一致。,
questions_seed_300_batch2.sql,106,junior,Not only the coach but also the players ___ happy.,A. was,B. were,C. is,D. be,B,1,B. were,but also 後 players 複數。,
questions_seed_300_batch2.sql,107,junior,She speaks ___ she had rehearsed for hours.,A. even if,B. as if,C. unless,D. until,B,1,B. as if,好像 as if。,
questions_seed_300_batch2.sql,108,junior,The building ___ next year.,A. completes,B. will complete,C. will be completed,D. completed,C,2,C. will be completed,明年被完工，未來被動。,
questions_seed_300_batch2.sql,109,junior,I remember ___ the door before bed.,A. lock,B. to lock,C. locking,D. locked,C,2,C. locking,記得做過 locking。,
questions_seed_300_batch2.sql,110,junior,Please remember ___ the door before you leave.,A. lock,B. to lock,C. locking,D. locked,B,1,B. to lock,記得要去做的尚未做，to lock。,
questions_seed_300_batch2.sql,111,junior,He is used ___ early for his job.,A. to get up,B. to getting up,C. get up,D. getting up,B,1,B. to getting up,be used to + 動名詞表習慣。,
questions_seed_300_batch2.sql,112,junior,He used ___ early before retirement.,A. to get up,B. to getting up,C. get up,D. getting up,A,0,A. to get up,used to + 原形表過去習慣。,
questions_seed_300_batch2.sql,113,junior,She got her brother ___ the heavy box.,A. carry,B. to carry,C. carrying,D. carried,B,1,B. to carry,get + 人 + to + 原形。,
questions_seed_300_batch2.sql,114,junior,We had the roof ___ after the storm.,A. repair,B. repaired,C. repairing,D. repairs,B,1,B. repaired,have + 物 + 過去分詞。,
questions_seed_300_batch2.sql,115,junior,The problem ___ at yesterday's meeting.,A. discusses,B. was discussed,C. discussed,D. is discussing,B,1,B. was discussed,問題被討論。,
questions_seed_300_batch2.sql,116,junior,___ careful when you cross the street.,A. Be,B. Being,C. To be,D. Been,A,0,A. Be,祈使句 Be careful。,
questions_seed_300_batch2.sql,117,junior,Reading: Tim forgot his keys and missed the bus. Why might Tim be late?,A. He woke early,B. He couldn't enter his house fast,C. He loves buses,D. He ran fast,B,1,B. He couldn't enter his house fast,忘記鑰匙可能耽誤出門。,
questions_seed_300_batch2.sql,118,junior,Reading: The café opens at 7 a.m. Does it open before 8?,A. No,B. Yes,C. Only on Sundays,D. Unknown,B,1,B. Yes,七點開門，八點前已開。,
questions_seed_300_batch2.sql,119,junior,Choose the closest meaning to 'generous'.,A. greedy,B. kind and giving,C. shy,D. strict,B,1,B. kind and giving,generous 表示慷慨。,
questions_seed_300_batch2.sql,120,junior,Choose the closest meaning to 'ancient'.,A. modern,B. very old,C. tiny,D. noisy,B,1,B. very old,ancient 古老。,
questions_seed_300_batch2.sql,121,junior,She has ___ experience than I do.,A. much,B. more,C. most,D. many,B,1,B. more,than 比較 more experience。,
questions_seed_300_batch2.sql,122,junior,This is ___ difficult exam I've taken.,A. more,B. most,C. the most,D. much,C,2,C. the most,最高級 the most difficult。,
questions_seed_300_batch2.sql,123,junior,He speaks Spanish ___ than I do.,A. fluent,B. more fluently,C. most fluent,D. fluently,B,1,B. more fluently,修飾動詞 speaks 用副詞比較。,
questions_seed_300_batch2.sql,124,junior,I'd ___ stay home than go out in this rain.,A. rather,B. prefer,C. better,D. want,A,0,A. rather,would rather...than。,
questions_seed_300_batch2.sql,125,junior,She'd prefer ___ alone tonight.,A. be,B. to be,C. being,D. been,B,1,B. to be,would prefer to be。,
questions_seed_300_batch2.sql,126,junior,It's worth ___ the instructions twice.,A. read,B. reading,C. to read,D. reads,B,1,B. reading,worth + 動名詞。,
questions_seed_300_batch2.sql,127,junior,There's no point in ___ over failed exams.,A. worry,B. worrying,C. to worry,D. worried,B,1,B. worrying,no point in + 動名詞。,
questions_seed_300_batch2.sql,128,junior,She prevented him ___ entering the room.,A. from,B. to,C. for,D. of,A,0,A. from,prevent from + 動名詞。,
questions_seed_300_batch2.sql,129,junior,The rain stopped them ___ playing tennis.,A. from,B. to,C. of,D. for,A,0,A. from,stop from + 動名詞。,
questions_seed_300_batch2.sql,130,junior,He congratulated me ___ winning.,A. for,B. on,C. with,D. about,B,1,B. on,congratulate on + 動名詞。,
questions_seed_300_batch2.sql,131,junior,She apologized ___ being rude.,A. for,B. to,C. of,D. about,A,0,A. for,apologize for + 動名詞。,
questions_seed_300_batch2.sql,132,junior,I'm responsible ___ the schedule.,A. for,B. of,C. to,D. with,A,0,A. for,responsible for。,
questions_seed_300_batch2.sql,133,junior,He's addicted ___ online games.,A. for,B. to,C. on,D. with,B,1,B. to,addicted to。,
questions_seed_300_batch2.sql,134,junior,The teacher explained the rule ___ .,A. clear,B. clearly,C. clearness,D. clearer,B,1,B. clearly,修飾動詞 explained 用副詞。,
questions_seed_300_batch2.sql,135,junior,She looked ___ when she heard the news.,A. surprising,B. surprised,C. surprise,D. surprisingly,B,1,B. surprised,形容人用 surprised。,
questions_seed_300_batch2.sql,136,junior,The lecture was ___ tedious that several listeners left early.,A. so,B. such,C. very,D. too,A,0,A. so,so...that 如此…以致；tedious 形前用 so。,
questions_seed_300_batch2.sql,137,junior,Seldom ___ such a crowd here.,A. we saw,B. did we see,C. we see,D. have we seen,B,1,B. did we see,Seldom 開頭倒裝。,
questions_seed_300_batch2.sql,138,junior,Not until he apologized ___ she forgive him.,A. she did,B. did she,C. she would,D. would she,B,1,B. did she,Not until 子句後倒裝 did she。,
questions_seed_300_batch2.sql,139,junior,Little ___ that he would become famous.,A. he knows,B. did he know,C. he knew,D. does he know,B,1,B. did he know,Little 開頭倒裝。,
questions_seed_300_batch2.sql,140,junior,So loudly ___ that everyone turned around.,A. he spoke,B. did he speak,C. he speaks,D. does he speak,B,1,B. did he speak,So loudly 前置倒裝。,
questions_seed_300_batch2.sql,141,junior,"If I ___ harder, I would pass now.",A. study,B. studied,C. had studied,D. have studied,B,1,B. studied,與現在事實相反，過去式 studied。,
